,session_id,track_id,skip_1,skip_2,skip_3,not_skipped,context_switch,hist_user_behavior_reason_start,hist_user_behavior_reason_end,hist_user_behavior_is_shuffle,skip_score,liking,rating
60,0_00529630-d19f-4c57-8418-298976de74b1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,0,0.3,0.3,1,-0.3,1.6,1.3
61,0_00554df7-96ba-460d-bcce-19270782e592,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
62,0_006e9a47-ddf3-46b1-8656-bea23476f375,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
63,0_00836c0a-ef23-4747-9c5e-4eb041a4c4f2,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.3,0.3,1,0.2,1.6,1.8
64,0_008e7fe0-f29d-402c-b94c-a7b065a09f01,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,1.0,0,0.2,2.0,2.2
66,0_00a1a3b6-611c-46f6-ab6a-a4ac82c4409d,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.2,1.0,0,1.0,1.2,2.2
67,0_00a8082d-1db1-4497-b76d-94b621b2dba4,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,0,0.3,0.4,0,-0.3,0.7,0.39999999999999997
68,0_00bbc158-979e-457b-95d0-ac14979030f5,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.2,1.0,1,0.2,2.2,2.4000000000000004
69,0_00bde842-efc0-4b5f-b40c-2ad0018d6299,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
70,0_00c85d24-5f1b-4468-b67f-fa3d9e405e68,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,0,0.3,0.3,0,-0.3,0.6,0.3
71,0_00c9c4a4-6d69-4f4f-8429-d55d4a2badb9,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.2,1.0,1,1.0,2.2,3.2
72,0_00ca0904-13ed-433a-8870-048d2b2cb036,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
73,0_00dd9d2c-8716-476d-8e68-1ea4c986bfb1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
74,0_00de8490-3d4f-4161-ad71-82269ee3e98f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.2,1.0,0,1.0,1.2,2.2
75,0_00f19a2e-1ca3-4a95-81e1-d0f1877a82b9,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
76,0_00fead0a-6353-433f-a565-44ae8727f62c,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,1,0.2,0.4,0,-1.3,0.6000000000000001,-0.7
77,0_01002d16-eb48-4a07-9f1b-73e73c4cd3e1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
78,0_012e996e-ce64-4434-a859-7fa43c076f65,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
79,0_013de381-827d-4a6a-a932-26ff153c5440,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,0,1,0.2,0.4,0,0.0,0.6000000000000001,0.6000000000000001
80,0_013e7c73-f186-41e8-85c0-8baf24c2758a,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
81,0_013f7b0e-f7f6-4d4b-bccf-6f379c05db1e,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
82,0_01439c2c-b93f-47e0-9c9a-390e84d7fbdc,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
83,0_014857c7-3172-43d0-a99e-ec6d5356e481,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
86,0_015f24df-588c-405e-83ac-4ab474a09b16,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
87,0_016e4374-434c-4550-a1c5-6fc02fbd63c1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
88,0_017f445f-54d0-4b8c-a563-f1a808464a7f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.2,0.4,0,0.2,0.6000000000000001,0.8
89,0_01873d8e-9be9-4579-9dd6-b81044ff3193,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
90,0_01a273e6-d1a4-4456-87f5-39a1d276d90a,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
91,0_01b4844a-2a2d-4b40-8fce-c406c061ef1f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
93,0_01b8722a-7f97-4f63-93cf-6b31d3c732dc,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
94,0_01c327a0-29e7-441c-9bca-0f6c3dec6817,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.2,0.3,0,0.2,0.5,0.7
95,0_01e2bea5-7932-4e05-aa0c-5249a0633a1d,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
96,0_01e82cae-68c5-4e97-9bc1-18c434b8d6f7,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
97,0_0205c9d3-e690-4fe2-bdb1-125198c5f512,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.2,0.3,1,0.2,1.5,1.7
98,0_022ce27c-52fd-494b-b33d-ec34f25c4530,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
99,0_02311e4e-4cfb-4a12-94c8-c6a43c31ade7,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,1,1.0,2.3,3.3
100,0_024b535a-8611-42a6-a6e9-acee74d77dcf,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
101,0_0250129a-7583-452c-8ace-bc0ab3b14a97,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
102,0_025b8386-db11-4e93-bfea-a3fbc29878d0,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
103,0_025d7033-4d04-4356-88c1-853b9d65d586,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.2,1.0,0,1.0,1.2,2.2
104,0_026790d8-2451-4015-ac63-7386e6c31cf3,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
105,0_02901cfb-0307-4934-b789-aff395220532,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.9,0.9,0,-1.3,1.8,0.5
106,0_02957018-d19b-4a58-b24b-fad3f2eeaded,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,0,1.0,0.9,0,-0.3,1.9,1.5999999999999999
108,0_02a39ac5-c29f-44be-a1de-faab396c4e32,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.2,1.0,0,1.0,1.2,2.2
109,0_02ba25e7-3216-42ae-91b1-bb02b61897c4,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
110,0_02c6434b-442f-4e94-9043-a96ce2de6ead,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.2,1.0,1,1.0,2.2,3.2
111,0_02ca7b95-223a-4ec9-bb61-003c03a22704,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
112,0_02cb0f96-b299-4599-804e-c1ee09a99928,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
113,0_02e1b69a-43f2-45ea-8381-f138515e5f02,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.3,1,0.2,2.3,2.5
114,0_02f17c7d-bebb-4ef5-97d1-92a9733d361a,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
115,0_02f38554-5ca5-4076-acaf-4c8b422e4924,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
116,0_02fffd4f-a654-4164-9fa2-049119a16ee4,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
117,0_03109584-3306-4951-ab02-42f420b4b1e0,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.2,0.4,0,-1.3,0.6000000000000001,-0.7
118,0_033f5137-3b77-497c-bf5f-63fd57fac7c1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
119,0_035ec63a-b54f-427b-83cc-e716bb31070e,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
120,0_036f4982-ed12-4bf4-b823-5ee713ca426b,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
121,0_03743ce5-f360-40c7-a438-b10447381f56,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
122,0_03824078-eb20-426c-b6af-25189835bb04,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
123,0_038b675a-bd83-48ff-b0a9-400d6eb0e2f0,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
124,0_038eecbb-8027-42ea-bdfa-6c4f0c88b69a,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
125,0_038fa234-10ba-4f74-a99f-4b54eb0b9154,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
126,0_03942e59-fac9-4849-9b2d-c28637c5d894,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,0,0.2,0.4,0,-0.3,0.6000000000000001,0.3000000000000001
128,0_03aac0cd-d898-4f45-addc-578465166e9e,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,1,-1.3,1.6,0.30000000000000004
130,0_03ae0741-fcda-44ef-9cd1-038249a4be8c,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
131,0_03bf211b-ff39-4953-99b3-669e1c07a9e8,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
133,0_03c0ab2f-5c75-4ca8-a223-c97c5e602f6f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
134,0_03ceed4a-7ee6-4187-b3b0-638f4dfb4ed3,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.2,1.0,0,1.0,1.2,2.2
135,0_03dad549-15cf-4d25-9e8d-a0c69c109703,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
136,0_03e38085-ba1d-45bc-821a-6243779afcec,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
137,0_03e540b6-83ef-41e7-94e8-638c07f6a8c4,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
138,0_041c50bc-3e51-4480-a148-6e09f8dffef9,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.9,0,-1.3,1.2,-0.10000000000000009
140,0_04202a08-756f-40b3-978f-325917c63adc,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.4,0,-1.3,0.7,-0.6000000000000001
141,0_0437fb8e-2aee-4f0c-b85e-1b3dfb0c5cb8,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.2,1.0,0,1.0,1.2,2.2
142,0_043ef7f0-a3f5-4759-b261-459b3f68b3ab,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
143,0_04421929-c689-45d6-9567-447a693bf2f5,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
144,0_044d3b14-d271-4784-ad63-cde5e3356f97,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.9,0,-1.3,1.2,-0.10000000000000009
146,0_0470c632-9fdc-4f0b-be47-27080edf4e92,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
147,0_04820ed9-3c49-4b70-a2c6-2d118f491ae1,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
148,0_048e9d8a-d2bc-46ef-9239-632c94ee9f36,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.9,0.9,0,-1.3,1.8,0.5
150,0_049e31e1-0c11-49e8-82a3-4167c56a1f0f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
151,0_04a03d0d-19c0-441d-b3b5-2969052c96eb,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
152,0_04bd42c1-71ab-4e6f-a96f-ec1b78c5a164,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
153,0_04caf7ca-96f8-4ce5-a412-83562dcdaec6,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
154,0_04e1f58a-06eb-4c15-8aea-62d0638c6f51,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,-0.5,0.2,0,1,0.2,0.0,1,-0.3,1.2,0.8999999999999999
156,0_04e20dda-98c8-4bb8-99a2-a188b7c7d15c,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
157,0_04e2c410-e0eb-4abb-a98d-800b1564d5a0,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
158,0_04eb4c58-058f-4c1e-8630-3feedd37c29e,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
159,0_04f14986-234e-48c3-9481-587dcb2b2253,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
160,0_050bf912-b275-453d-8fda-b82647f6e99f,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,0.2,0.4,0,0.2,0.6000000000000001,0.8
161,0_050e6c78-d5f7-4fb0-8e1c-4191484205de,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
